temps_s,temperature_C
0.0000,380.0914
1.8660,374.0899
3.7321,369.0290
5.5981,363.4879
7.4641,357.0223
9.3301,351.6189
11.1962,346.4498
13.0622,340.7185
14.9282,335.2103
16.7943,329.3613
18.6603,324.2830
20.5263,318.6544
22.3923,312.8428
24.2584,308.2090
26.1244,307.0781
27.9904,305.7470
29.8565,305.1824
31.7225,303.8511
33.5885,303.4693
35.4545,302.2577
37.3206,301.2843
39.1866,300.2024
41.0526,299.8404
42.9187,298.4943
44.7847,297.4792
46.6507,296.5690
48.5167,295.9013
50.3828,294.9182
52.2488,293.9994
54.1148,293.0718
55.9809,292.6521
57.8469,290.9546
59.7129,289.9899
61.5789,288.9664
63.4450,288.4623
65.3110,287.6832
67.1770,286.3773
69.0431,285.2264
70.9091,284.2981
72.7751,283.8076
74.6411,282.9024
76.5072,281.9094
78.3732,280.6137
80.2392,279.9500
82.1053,278.9824
83.9713,278.0800
85.8373,277.3428
87.7033,276.2154
89.5694,275.4190
91.4354,274.3026
93.3014,273.4360
95.1675,272.6057
97.0335,271.0461
98.8995,270.4543
100.7656,269.4761
102.6316,268.4925
104.4976,267.6687
106.3636,267.2667
108.2297,265.6254
110.0957,265.2426
111.9617,263.5143
113.8278,262.9857
115.6938,262.2019
117.5598,261.3960
119.4258,260.5004
121.2919,259.5921
123.1579,258.3164
125.0239,257.3493
126.8900,256.8124
128.7560,255.5646
130.6220,254.3063
132.4880,253.4160
134.3541,252.5471
136.2201,252.0391
138.0861,250.9997
139.9522,250.2311
141.8182,248.9627
143.6842,248.2055
145.5502,247.4126
147.4163,246.1991
149.2823,245.4959
151.1483,244.2273
153.0144,243.3839
154.8804,242.4453
156.7464,241.2680
158.6124,240.8399
160.4785,239.6199
162.3445,238.8315
164.2105,238.0390
166.0766,237.0957
167.9426,236.2283
169.8086,235.0661
171.6746,234.0357
173.5407,233.2057
175.4067,231.7905
177.2727,230.9295
179.1388,230.0338
181.0048,229.1984
182.8708,228.6845
184.7368,227.3599
186.6029,226.5851
188.4689,226.1553
190.3349,224.7257
192.2010,224.1208
194.0670,222.6864
195.9330,221.9719
197.7990,220.8155
199.6651,220.0658
201.5311,219.4865
203.3971,217.7832
205.2632,217.4987
207.1292,216.5067
208.9952,215.3241
210.8612,214.1356
212.7273,213.6580
214.5933,212.5445
216.4593,211.8401
218.3254,210.8439
220.1914,210.3848
222.0574,208.8995
223.9234,207.7312
225.7895,207.1590
227.6555,206.2382
229.5215,205.6470
231.3876,204.5568
233.2536,203.4803
235.1196,202.8792
236.9856,201.1505
238.8517,200.3822
240.7177,199.3632
242.5837,198.5912
244.4498,197.3621
246.3158,197.0327
248.1818,195.8424
250.0478,194.5348
251.9139,193.7384
253.7799,193.2041
255.6459,192.4285
257.5120,191.8430
259.3780,191.1852
261.2440,189.5023
263.1100,188.1481
264.9761,186.8723
266.8421,186.6593
268.7081,185.4021
270.5742,184.5883
272.4402,183.5963
274.3062,182.8047
276.1722,182.2337
278.0383,181.0280
279.9043,180.0003
281.7703,179.4833
283.6364,179.1656
285.5024,179.4501
287.3684,179.5387
289.2344,180.0617
291.1005,179.5570
292.9665,179.8050
294.8325,179.3561
296.6986,179.1479
298.5646,179.2124
300.4306,179.2835
302.2967,180.1392
304.1627,179.2539
306.0287,179.7517
307.8947,179.2292
309.7608,179.7795
311.6268,179.6155
313.4928,179.4530
315.3589,179.4878
317.2249,179.3036
319.0909,179.6338
320.9569,178.9066
322.8230,176.8094
324.6890,174.9276
326.5550,173.4968
328.4211,172.0527
330.2871,169.7609
332.1531,167.8113
334.0191,166.0666
335.8852,164.5066
337.7512,162.3146
339.6172,160.2595
341.4833,158.8486
343.3493,156.7793
345.2153,155.2454
347.0813,152.9736
348.9474,150.6853
350.8134,148.7762
352.6794,147.8159
354.5455,145.9716
356.4115,143.5347
358.2775,141.6075
360.1435,140.2949
362.0096,137.6583
363.8756,135.8560
365.7416,134.4514
367.6077,132.2740
369.4737,130.5248
371.3397,128.6113
373.2057,126.8955
375.0718,125.3505
376.9378,123.0894
378.8038,121.3894
380.6699,118.7151
382.5359,117.4495
384.4019,115.3451
386.2679,113.3664
388.1340,111.6026
390.0000,109.8998
